"GEN_name","GEN_price","GEN_description","GEN_website","GEN_duration","GEN_language","GEN_isTicketAvailable","VISUAL_artMovement","GEN_geoURI","GEN_workURI","DATETIME_startDate","DATETIME_endDate","DATETIME_startTime","DATETIME_endTime","SCHEDULE_byDay","SCHEDULE_byMonth","SCHEDULE_byMonthDay","SCHEDULE_repeatCount","SCHEDULE_repeatFrequency"
"Dentro Leonardo",,,"https://www.visittrentino.info/it/guida/eventi/dentro-leonardo_e_11080383?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Riva%20del%20Garda",,"23-11-2019","06-12-2019",,,,,,,
"L'Angolo Artigianale Natalizio di Imèr",,,"https://www.visittrentino.info/it/guida/eventi/l-angolo-artigianale-natalizio-di-imer_e_2304875?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=2&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Primiero%20-%20Imer",,"07-12-2019","08-12-2019",,,,,,,
"La Montagna chiama ( The mountain calling )",,,"https://www.visittrentino.info/it/guida/eventi/la-montagna-chiama-the-mountain-calling_e_13132578?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=3&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Arco",,"30-11-2019","13-12-2019","15:00:00","19:00:00",,,,,
"Espressionismo in pittura e scultura",,,"https://www.visittrentino.info/it/guida/eventi/espressionismo-in-pittura-e-scultura_e_11080393?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=4&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Riva%20del%20Garda",,"08-12-2019","19-12-2019",,,,,,,
"Eventi in Vallarsa",,,"https://www.visittrentino.info/it/guida/eventi/eventi-in-vallarsa_e_9090514?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=5&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Vallarsa",,"06-05-2019","26-12-2019",,,,,,,
"Pinacoteca: Testimonianze figurative dal territorio tra XIV e XIX secolo","€ 2,50",,"https://www.visittrentino.info/it/guida/eventi/pinacoteca-testimonianze-figurative-dal-territorio-tra-xiv-e-xix-secolo_e_309613?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=6&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Riva%20del%20Garda",,"01-06-2019","06-01-2020",,,,,,,
"Il Sacro e il Quotidiano. Il villaggio tardoantico a San Martino ai Campi","€ 2,50",,"https://www.visittrentino.info/it/guida/eventi/il-sacro-e-il-quotidiano.il-villaggio-tardoantico-a-san-martino-ai-campi_e_12221623?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=7&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Riva%20del%20Garda",,"04-10-2019","06-01-2020",,,,,,,
"Fermoimmagine. L'evoluzione della Gardesana Occidentale da 22 a 2 ruote","€ 2,50",,"https://www.visittrentino.info/it/guida/eventi/fermoimmagine.l-evoluzione-della-gardesana-occidentale-da-22-a-2-ruote_e_12913625?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=7&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Riva%20del%20Garda",,"01-12-2019","06-01-2020",,,,,,,
"Presepi sulle fontane",,,"https://www.visittrentino.info/it/guida/eventi/presepi-sulle-fontane_e_390181?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=7&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Vigo%20di%20Fassa",,"05-12-2019","11-01-2020","00:00:00","23:59:00",,,,,
"La strada dei presepi",,,"https://www.visittrentino.info/it/guida/eventi/la-strada-dei-presepi_e_12304054?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=7&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Vigo%20di%20Fassa",,"06-12-2019","11-01-2020","00:00:00","23:59:00",,,,,
"Presepi in Turchia",,,"https://www.visittrentino.info/it/guida/eventi/presepi-in-turchia_e_390219?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=7&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Moena",,"06-12-2019","13-01-2020","00:00:00","23:59:00",,,,,
"Richard Artschwager","Prezzi; intero € 11,00; giovani dai 15 ai 26 anni, convenzionati, gruppi min 15 e max 30 persone, over 65 € 7,00; fino ai 14 anni, Amici del Museo e scolaresche gratuito; biglietto di ingresso compreso nel Museum Pass in vendita ad € 22,00; biglietto famiglia € 22,00; biglietto unico 3 sedi (Mart, Casa d'Arte Futurista Depero, Galleria Civica Trento): intero € 14,00 e ridotto € 10,00; Entrata gratuita ogni prima domenica del mese; visite guidate su prenotazione al numero verde 800 397 760 € 2.00 + il biglietto d'ingresso; laboratori per famiglie € 5 a bambino",,"https://www.visittrentino.info/it/guida/eventi/richard-artschwager_e_10552252?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=7&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Rovereto",,"12-10-2019","02-02-2020",,,,,,,
"100 Marchi - Berlino 2019","ingresso libero",,"https://www.visittrentino.info/it/guida/eventi/100-marchi-berlino-2019_e_12642196?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=7&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Trento",,"09-11-2019","09-02-2020",,,,,,,
"Danzare la rivoluzione",,,"https://www.visittrentino.info/it/guida/eventi/danzare-la-rivoluzione_e_12139969?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=7&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Rovereto",,"19-10-2019","01-03-2020",,,,,,,
"La pelle del soldato","Prezzi; intero € 7,50 (visitatori a partire dai 18 anni); ridotto € 5,50 (Gruppi – tariffa a persona per gruppi di minimo 20 adulti paganti, forze dell'ordine in borghese su esibizione del tesserino, visitatori della mostra 'La Strada delle Gallerie ha 100 anni'); ridotto € 2,00 (bambini e ragazzi dai 6 ai 17 anni compiuti, classi in visita libera, forze dell'ordine in servizio); ridotto in convenzione € 6,00 (visitatori che esibiscono tessera in corso di validità: ACI di Trento, ACLI, AIB ANLA, ARCI del Trentino, ASAT, Associazione Lagarina Storia Antica, CGIL del Trentino, FAI, FederCircoli del Trentino, GARDO, SAT, TCI, UNPLI, VOLKSBANK); gratuito (Bambini fino a 5 anni compiuti, visitatori disabili -e il loro accompagnatore-, visitatori muniti di Guest Card Trentino, soci del Museo, soci della Cassa Rurale di Rovereto con tessera I'Mart, insegnanti che accompagnano le classi -2 per classe-, un capogruppo per ogni comitiva, giornalisti con tessera professionale, funzionari dell'Assessorato alla Cultura della PAT, operatori del Servizio Civile -esibendo il tesserino); tariffa famiglia: per ogni genitore che paga il biglietto intero, un bambino fino a 14 anni ha diritto all'ingresso gratuito; biglietto di ingresso compreso nel Museum Pass",,"https://www.visittrentino.info/it/guida/eventi/la-pelle-del-soldato_e_2758648?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=8&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Rovereto",,"25-04-2018","03-05-2020","10:00:00","18:00:00",,,,,
"1914-1918 La Gran Vera - La Grande Guerra: Galizia, Dolomiti",,,"https://www.visittrentino.info/it/guida/eventi/1914-1918-la-gran-vera-la-grande-guerra-galizia-dolomiti_e_13579?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=8&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Moena",,"07-12-2019","02-06-2020",,,,,,,
"Ci vuole un fiore",,,"https://www.visittrentino.info/it/guida/eventi/ci-vuole-un-fiore_e_13071630?destination=&submitted=1&startdate=03%2F12%2F2019&category%5B0%5D=&enddate=15%2F12%2F2019&device=desktop&mode=grid&page=8&ajax=1",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Rovereto",,"14-12-2019","23-08-2020",,,,,,,
"Dancing the Revolution",,". Mart will host a major exhibition dedicated to the American dancer and cultural icon Isadora Duncan (1877-1927). Rebellious and charismatic, a true diva, she went beyond the canons of romantic ballet to develop an independent style and technique. Central themes in the exhibition are the liberation of women’s bodies, Duncan’s influence on early 20th-century culture, and her bond with Italy.The exhibition features numerous major artists who portrayed or were inspired by Duncan: Rodin, Bourdelle, von Stuck, Zandomeneghi, Sartorio, Bistolfi, Nomellini, Romanelli, Baccarini, De Carolis, Chini, Cambellotti, Nonni, Boccioni, Depero, Severini, Casorati, Campigli, Sironi, Raphaël, and Gio Ponti.. Curated by Maria Flora Giubilei and Carlo SisiA Mart Rovereto and Fondazione CR Firenze productionSource: http://www.mart.trento.it/isadoraduncan-en","https://www.cultura.trentino.it/eng/content/view/full/630267",,,,,"http://www.semanticweb.org/facilitiesEventsOntology/Rovereto%2C%20%2C%20Mart%20-%20Museum%20of%20Modern%20and%20Contemporary%20Art%20of%20Rovereto%20-%20Rovereto",,"02-12-2019","02-12-2019","18:00:00",,,,,,
