"GEN_name","GEN_price","GEN_description","GEN_website","GEN_duration","GEN_language","GEN_isTicketAvailable","GEN_geoURI","GEN_workURI","DATETIME_startDate","DATETIME_endDate","DATETIME_startTime","DATETIME_endTime","SCHEDULE_byDay","SCHEDULE_byMonth","SCHEDULE_byMonthDay","SCHEDULE_repeatCount","SCHEDULE_repeatFrequency"
"Alla scoperta di Piedicastello con il FAI","8 euro","A passeggio con gli esperti del FAI nel borgo 'in dextera Athesis', uno dei nuclei più antichi della città, dove passato e presente si incontrano. abato 30 novembre 2019 alle ore 10:00 visita a Piedicastello, uno dei luoghi più misteriosi e affascinanti di Trento, rimasto come cristallizzato nel tempo ad un passo dal centro cittadino.; La visita sarà un modo per conoscere la sua straordinaria storia e il suo convivere con la modernità. Alla fine della visita seguirà il momento conviviale al Bar Funivia; Richiesta prenotazione tramite email: trento@faigiovani.fondoambiente.it. Contributo a partire da 8 €, max 30 persone","http://www.trentotoday.it/eventi/piedicastello-fai-2019.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Piedicastello%3B%20Via%20D%C3%B2s%20Trento",,"30/11/2019","30/11/2019","10",,,,,,
"A Lavis la Fiera dei Ciucioi: prima volta con il giardino aperto","Gratis","Finalmente la Fiera dei Ciucioi... con i Ciucioi. A Lavis torna la tradizionale festa dell'ultimo finesettimana di novembre, quest'anno con un'edizione speciale: è stato infatti riaperto in autunno il Giardino dei Ciucioi, un luogo affascinante, tutto da scoprire.; Il giardino sarà visitabile nei giorni della Fiera: sarà possibile prenotare un turno di visita presso la casella della Pro Loco. Cuore della festa sarà la piazza delle Suore Canossiane, ribattezzata per l'occasione 'Piazza del Gusto'. Sabato 30 novembre le casette apriranno i battenti alle ore 17.00 per dare il via alle degustazioni di prodotti tipici, accompagnate da musica dal vivo. Domenica 1 dicembre si inizia alle ore 9.00 e, oltre agli stand di degustazioni, ci saranno tante attività per i più piccoli. Sempre nella giornata di domenica sono in programma visite guidate alle chiese ed ai luoghi storici del paese di Lavis.","http://www.trentotoday.it/eventi/fiera-ciucioi-lavis-2019.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Giardino%20dei%20Ciucioi%3B%20Piazza%20Venezia%2C%202%3B%20Lavarone",,"30/11/2019","01/12/2019",,,,,,,
"I Krampus a Pergine con tante attività per i più piccoli","Gratis","I Krampus tornano ai Mercatini di Natale di Pergine, o meglio Perzenland: così si chiama la città durante le feste natalizie. Sabato 30 novembre e domenica 1 dicembre tanti appuntamenti per conoscere la storia, la leggenda, la tradizione dei 'diavoli' che scortano San Nicolò.; Protegonisti i Perchten di Amstetten, ovvero i 'Krampus buoni' dell'Austria. Non conosci la leggenda dei Krampus? Clicca qui...; Ecco il programma; Sabato 30 novembre; Nel pomeriggio: spettacolo dei Krampus buoni assieme a St. Nikolaus e all'Angelo; Laboratori per bambini a cura del Centro Famiglie Valsugana (vicolo delle Garberie) dalle 14.30 alle 17.30; Stanza dei Canopi - Laboratori a tema 'Disegnamo i Krampus' - a cura di Sara Arcobaleno dalle 10.30 alle 14.00; Domenica 1 dicembre; Nel pomeriggio: spettacolo dei Krampus buoni assieme a St. Nikolaus e all'Angelo; Ore 19.00 momento musicale Blues con i 'The Next Door' in piazza Fruet (Piazzetta del Gusto); Laboratori per bambini a cura del Centro Famiglie Valsugana (vicolo delle Garberie) dalle 14.30 alle 17.30; Stanza dei Canopi - Laboratori a tema 'Disegnamo i Krampus' - a cura di Sara Arcobaleno dalle 10.30 alle 14.00; Spettacolo itinerante per le vie del centro storico di Pergine Valsugana.; Casette espositori aperte dalle ore 10.00 alle ore 19.00, ristorazione dalle 10.00 alle 22.00. I negozi sono aperti","http://www.trentotoday.it/eventi/krampus-pergine-30-novembre-1-dicembre.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Indirizzo%20non%20disponibile%3B%20Pergine%20Valsugana",,"30/11/2019","01/12/2019",,,,,,,
"Stand up comedy: Velia Lalli alla Bookique","7 euro","Giovedì torna la stand up comedy alla Bookique. Per l'occasione del festival Loveisindieair ♡ Genere di Musica. Musica di Genere il palco sarà di Velia Lalli.; Ticket online: 5 euro + commissioni; https://oooh.events/evento/lallibookique-biglietti/; Ticket at the door: 7 euro; Nel suo quinto monologo Velia Lalli prova a chiudere il cerchio, dopo aver fatto bilanci ad ogni Capodanno, ogni anno dopo le ferie estive, al passaggio di ogni decade, e persino in ogni suo monologo. Si rifugia ancora una volta nella risata per accettare tutti i fallimenti delle sue ambizioni. E se alcune possono sembrare stravaganti, come scoprire di non aver raggiunto nemmeno fino in fondo lo status di gattara, tutto il resto è l’analisi lucida delle nostre ambizioni indotte più comuni.; Non è più una ragazzina, non è madre, non è abbastanza gattara, non è abbastanza fashion, non è abbastanza gnocca, non è abbastanza femminista. E non è neanche abbastanza famosa.; Con un attacco aperto alla comicità femminile nazionale, Velia dichiara di essere una nicchia, dove la donna ha come arma una grassa risata, libera e consapevole, che non passa attraverso la critica trita del maschio. Nel momento in cui si parla tanto di donne, lei le vuole armate dell’arma più potente che conosce: la goliardia. Fornendo un prontuario di battute sferzanti da appuntarsi e utilizzare in caso di “necessità”.","http://www.trentotoday.it/eventi/velia-lalli-bookique-2019.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Bookique%3B%20Via%20Torre%20D%27Augusto",,"28/11/2019","28/11/2019","21",,,,,,
"Casa astuta: come sfruttare bene l’energia a casa","Gratis","Partendo da un esempio reale, di una casa a Gardolo, appunto una “casa astuta”, analizzeremo metodi pratici e reali per sfruttare al meglio l’energia di casa nostra, a partire dal risparmio energetico.","http://www.trentotoday.it/eventi/come-sfruttare-energia-casa.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Circolo%20ACLI%20GARDOLO%3B%20Via%20Laurence%20Feininger%2C%204",,"29/11/2019","29/11/2019","20:30",,,,,,
"Intelligenza artificiale: mito o realtà? Se ne parla a Povo","Gratis","Qual è lo stato dell'arte delle applicazioni di Intelligenza Artificiale? Che tipo di impatto avrà quest’ultima sulle imprese e sulla società nel prossimo futuro? Chi è nella posizione migliore per beneficiare della corsa all’IA? Il tema al centro dell’italian innovation day 2019; Sono alcune delle domande a cui EIT Digital, organizzazione europea leader nella trasformazione digitale, la cui sede italiana è a Trento, cercherà di dare risposta nel corso dell’Italian Innovation Day 2019, dal titolo “The AI Revolution: Hype or Reality?”.; Un titolo che vuole sottolineare la doppia valenza del termine, diventato ormai un tormentone per chi si occupa di innovazione: da un lato l’intelligenza artificiale è senza dubbio destinata a cambiare in profondità il nostro modo di vivere, con America e Cina impegnate in una rincorsa al progresso sempre più frenetica, e l’Europa che cerca di tenere il passo.; Dall’altro, non sempre quanto viene prodotto in questo campo è davvero “intelligente”, ed è necessario distinguere le ragionevoli aspettative in materia di IA, legate a casi aziendali reali, dalle iperboli usate a scopo marketing.; L’evento è in programma per giovedì 28 novembre, a partire dalle 9.30, nella sede di via Sommarive 18 a Povo: imprenditori ed esperti di alto profilo a livello europeo, convergeranno su Trento per analizzare le possibili applicazioni dell’intelligenza artificiale negli ambiti in cui si concentrano le attività di innovazione di EIT Digital: Digital Cities, Digital Wellbeing, Digital Tech, Digital Industry e Digital Finance.; Nel corso della mattinata si susseguiranno una serie di interventi di alto profilo moderati da Cristina Pozzi, amministratrice delegata e co-fondatrice della startup veronese ImpactScool; fra gli speaker, gli Ad di aziende innovative in forte crescita, attive nell’ambito della guida autonoma (Harri Santamala, Sensible 4), della gestione intelligente dell’energia negli edifici (Giuseppe Giordano Enerbrain), dell’analisi dei dati sanitari e finanziari (Baher Al Hakim di Medicus AI e Daniele Grassi di Axyon AI).; Mattia Corbetta, policy analyst dell’Organizzazione per la Cooperazione e lo Sviluppo Economico, aprirà la sessione con un intervento introduttivo sulla nascita delle politiche industriali in ambito AI e sul ruolo delle piccole e medie imprese in questo contesto.; Nel pomeriggio, al centro dell'Innovation Day 2019 sarà anche l'Innovation Village, dove verranno presentate una trentina di demo di prodotti e servizi innovativi, derivanti dalle attività di innovazione di EIT Digital, nonché startup e scale-up nell'ecosistema dell'organizzazione.; Gallery","http://www.trentotoday.it/eventi/intelligenza-artificiale-innovation-day-2019-eit-digital-italy.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/EIT%20Digital%20Italy%20Co-Location%20Centre%3B%20Via%20Sommarive%2C%2018",,"28/11/2019","28/11/2019","09:00","17:00",,,,,
"Camerieri non vedenti e menù a sopresa: ecco la cena al buio di Trento","Menù 25 euro a persona","Una cena al buio guidati da camerieri non vedenti. È questa la proposta dell'Associazione Volontariato Pro Ciechi “A.V.P.C., che per sabato 30 novembre ha organizzato l'appuntamento nelle sale parrocchiali della parrocchia di Madonna Bianca in via Bettini 11 a Trento.; 'I commensali in questa indimenticabile esperienza - scrivono gli organizzatori - saranno accompagnati ai tavoli in completa assenza di luce da camerieri non vedenti. Verrà proposto un menù completo a sorpresa al costo di 25 euro a persona'.; Come partecipare alla cena al buio di Trento; 'La prenotazione - precisano gli organizzatori - deve essere effettuata con pagamento anticipato entro il 28 novembre presso Unione Italiana Ciechi in via della Malvasia 15 Trento in orario di ufficio oppure tramite bonifico all’IbanIT31M0801301800000010314360 specificando nome, cognome e il numero di persone partecipanti. Il ritrovo è previsto per le ore 19:30'.; In caso di intolleranze alimentari sarà possibile chiamare per verificare la compatibilità con il menù. Per ulteriori informazioni contattare il numero 340 5739425 o 335 5900918. 'Nel caso ci fossero prenotazioni che superano la capienza della sala - concludono gli organizzatori - verrà proposto il pranzo alle ore 13 dello stesso giorno e con le stesse modalità'.","http://www.trentotoday.it/eventi/cena-al-buio.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/parrocchia%20di%20Madonna%20Bianca%3B%20Via%20Angelo%20Bettini%2C%2011",,"30/11/2019","30/11/2019","20","19:30",,,,,
"Mercatini di Natale a Trento","Gratis","Tornano i Mercatini di Natale nel centro storico di Trento. L'appuntamento è dal 23 novembre al 6 gennaio. Ad aspettare i visitatori il Natale nel capoluogo con la sua atmosfera, i suoi colori e le casette con tanti prodotti artigianali tipici. Oltre alla storica sede di Piazza Fiera, il mercatino è presente anche in Piazza Cesare Battisti. Con le sue 93 casette di legno, Il Mercatino di Natale è la manifestazione principale, ma molte altre sono le iniziative nel programma di Trento Città del Natale: clicca qui...; Tra artigianato locale e tipicità enogastronomiche; Quello di Trento è il più antico Mercatino di Natale del Trentino: 93 casette di legno animano le storiche piazza Fiera e piazza Battisti e proprio qui si trova il meglio dell’artigianato alpino e dell’enogastronomia tradizionale locale.; Tutti i mercatini 2019/2020 in Trentino; Addobbi natalizi con materiali naturali del territorio, decorazioni artigianali per la casa, sculture in legno scolpite. E ancora guanti, sciarpe e pantofole che riprendono i motivi tipici della tradizione locale, scaldamani e cappelli in lana cotta. Non mancano poi prodotti naturali per la cura di sé e il benessere della persona, cuscini con cirmolo e noccioli di ciliegie deliziosamente profumati.; La scelta degli espositori ha seguito criteri severi, mettendo al primo posto il lavoro home made e l’artigianato locale, assicurando così un’elevata qualità dei prodotti.; A Trento c'è anche il Villaggio di Babbo Natale; Il Mercatino di Natale di Trento ospita anche eccellenze culinarie, tipicità della cucina tradizionale regionale da assaggiare o da acquistare come dolce ricordo della vacanza. Dai canederli preparati con speck o luganega, alla polenta da accompagnare ai buonissimi formaggi locali, tortel di patate, Brezel farciti o sfiziosi panini gourmet. E poi Strudel di mele, Strauben, Zelten e altri dolci tipici da abbinare al classico vin brulé e alle birre artigianali trentine, al brulé di mela, a tisane e cioccolate calde. Tutta la bontè del Trentino.; Aperture/Orari; Il Mercatino è aperto dalla domenica al giovedì dalle 10.00 alle 19.30; venerdì e sabato dalle 10.00 alle 20.30; sabato 14 dicembre 2019 e sabato 4 gennaio 2020 aperto dalle ore 10.00 alle ore 23.00. Il 26 dicembre 2019, il 1° e il 6 gennaio 2020 aperto dalle 10.00 alle 19.30. Il giorno di Natale il Mercatino è chiuso.; Grande festa per l'inaugurazione dei Mercatini; L'inaugurazione dei mercatini è fissata per sabato 23 novembre: il momento in cui le casette apriranno i battenti sarà l'occasione per brindare alla 26esima edizione dei Mercatini, ma ci sarà anche l'apertura del Villaggio di Babbo Natale, e l'accensione del grande Albero di Natale in piazza Duomo. Ecco il programma, clicca qui...","http://www.trentotoday.it/eventi/mercatini-natale-trento-2019-2020.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Piazza%20Fiera%3B%20Piazza%20di%20Fiera",,"23/11/2019","06/01/2020",,,,,,,
"Il Natale a Riva è di gusto","Gratis","Per festeggiare il Natale a Riva torna l'appuntamento con 'Di gusto in gusto, profumi e sapori tipicamente trentini in un percorso dove si potranno scoprire, degustare ed acquistare le migliori eccellenze del territorio coccolati da una inconfondibile e magica atmosfera natalizia.; Un ambiente incantato, che farà sognare all’unisono grandi e piccini, perfetto per celebrare le festività in famiglia.","http://www.trentotoday.it/eventi/mercatini-natale-riva-garda-2019-2020.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/centro%20storico%3B%20Via%20Andrea%20Maffei%3B%20Riva%20del%20Garda",,"16/11/2019","06/01/2020",,,,,,,
"Concerti di Natale nelle chiese di Trento","Gratis","Novità musicale nell'edizione 2019/2020 di Trento Città del Natale, il programma di eventi natalizi messo in campo dal Comune. Suoni di quartiere: questo il nome del calendario di appuntamenti con concerti da non perdere nelle chiese dei quartieri cittadini. Ecco il programma...; Antonella Ruggiero, voce e organo – Basilica di Santa Maria Maggiore; domenica 1 dicembre ore 17; Gavino Murgia, Gruppo vocale K.J. Feininger – Chiesa di San Marco; domenica 8 dicembre ore 18; The Followers of Christ Gospel Singer – Chiesa di San Pio X – Canova di Gardolo; domenica 15 dicembre ore 18; Radiodervish – Chiesa di San Martino; domenica 22 dicembre ore 18; Solis String Quartet – Chiesa del Sacro Cuore; domenica 29 dicembre ore 18; A questi si aggiungono i Cantantibus Organis, concerti natalizi sugli organi più belli della città, a cura dell'Associazione organistica trentina R. Lunelli, che si svolgeranno sempre alle 16 il 1° dicembre presso la chiesa di San Francesco Saverio, l’8 dicembre presso la chiesa di Santa Maria del Suffragio, il 15 dicembre presso la chiesa di Santa Maria Maggiore ed infine il 22 dicembre presso la cattedrale di San Vigilio.","http://www.trentotoday.it/eventi/concerti-natale-ruggiero-trento.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Chiese%20della%20citt%C3%A0%3B%20Piazza%20Santa%20Maria%20Maggiore",,"01/12/2019","29/12/2019",,,,,,,
"Ad Ossana 1000 presepi per il Natale","Gratis","Per il Natale il borgo di Ossana si trasforma con un suggestivo percorso di presepi, quasi mille, a incorniciare il mercatino di Natale con i suoi prodotti tipici.; Protagonista d'eccezione e vero cuore pulsante della rassegna è Castello San Michele. Riaperto al pubblico nel 2014, il maniero medievale di Ossana è visitabile anche in inverno. Assolutamente da visitare il presepe appositamente realizzato in occasione dei 60 anni dal disastro aereo del Monte Giner, avvenuto il 22 dicembre 1956 in località Pale Perse a quota 2.600 metri nel territorio di Ossana. Il presepe è allestito nel «Mas dei Voltolini».","http://www.trentotoday.it/eventi/mercatini-natale-ossana-2019-2020.html",,,,"http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Indirizzo%20non%20disponibile%3B%20Ossana",,"29/11/2019","06/01/2020",,,,,,,
